split,instance_id,sub_string
test,astropy__astropy-11693,"'WCS.all_world2pix' failed to converge when plotting WCS with non linear distortions
<!-- This comme"
test,astropy__astropy-12057,"Add helpers to convert between different types of uncertainties
Currently there no easy way to conve"
test,astropy__astropy-12318,"BlackBody bolometric flux is wrong if scale has units of dimensionless_unscaled
The `astropy.modelin"
test,astropy__astropy-12544,"Can Table masking be turned off?
<!-- This comments are hidden when you submit the issue,
so you do"
test,astropy__astropy-12825,"SkyCoord in Table breaks aggregate on group_by
### Description, actual behaviour, reproduction
When"
test,astropy__astropy-12842,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.
test,astropy__astropy-12880,No longer able to read BinnedTimeSeries with datetime column saved as ECSV after upgrading from 4.2.
test,astropy__astropy-12891,"The `where` keyword argument of `np.mean` is not supported for `astropy.units.Quantity` instances.
<"
test,astropy__astropy-12907,"Modeling's `separability_matrix` does not compute separability correctly for nested CompoundModels
C"
test,astropy__astropy-12962,"Convert CCDData to ImageHDU
### Description
As far as I can tell, currently there's no way to direc"
test,astropy__astropy-13032,"Incorrect ignored usage in `ModelBoundingBox`
<!-- This comments are hidden when you submit the issu"
test,astropy__astropy-13033,"TimeSeries: misleading exception when required column check fails.
<!-- This comments are hidden whe"
test,astropy__astropy-13068,"Time from astropy.time not precise
Hello,

I encounter difficulties with Time. I'm working on a pa"
test,astropy__astropy-13073,"Document reading True/False in ASCII table as bool not str
<!-- This comments are hidden when you su"
test,astropy__astropy-13075,"Register format ``html`` to ``Cosmology.write`` with nice mathjax
Cosmology can now read and write t"
test,astropy__astropy-13132,"Add __array_func__ for astropy.time.Time
<!-- This comments are hidden when you submit the pull requ"
test,astropy__astropy-13158,"Model evaluation fails if any model parameter is a `MagUnit` type value
<!-- This comments are hidde"
test,astropy__astropy-13162,"Angle bug for (d, m, s) tuple input (deprecate dms_to_degrees)
`Angle` does not handle the sign corr"
test,astropy__astropy-13234,"Structured column serialization round-trip fails with field name of ""name""
<!-- This comments are hi"
test,astropy__astropy-13236,"Consider removing auto-transform of structured column into NdarrayMixin
<!-- This comments are hidde"
test,astropy__astropy-13306,"vstack'ing structured array tables fails with casting error
<!-- This comments are hidden when you s"
test,astropy__astropy-13390,"BUG: Table test failures with np 1.23.0rc3
```
===================================================="
test,astropy__astropy-13398,"A direct approach to ITRS to Observed transformations that stays within the ITRS.
<!-- This comments"
test,astropy__astropy-13404,"Masked ``_array2string`` doesn't work on some structured arrays
### Description

The dispatch func"
test,astropy__astropy-13417,"FITS problem reading binary table with variable length columns
I want to read a certain FITS file (["
test,astropy__astropy-13438,"[Security] Jquery 3.1.1 is vulnerable to untrusted code execution
<!-- This comments are hidden when"
test,astropy__astropy-13453,"ASCII table output to HTML does not support supplied ""formats""
<!-- This comments are hidden when yo"
test,astropy__astropy-13462,TST: time/tests/test_precision.py failed in pyinstaller (computed error is different depending on th
test,astropy__astropy-13465,"rtol for FITSDiff not working as expected. 
I have question about the rtol parameter for FITSDiff, w"
test,astropy__astropy-13469,"Can't convert a list of Astropy tables to a NumPy array of tables
I recently stumbled upon [a StackO"
test,astropy__astropy-13477,"Comparing Frame with data and SkyCoord with same data raises exception
<!-- This comments are hidden"
test,astropy__astropy-13572,"Problem in function nutation_matrix in earth_orientation.py
Recently, when I try to call function nu"
test,astropy__astropy-13579,"Inconsistent behavior of `world_to_pixel` in `SlicedLowLevelWCS` 
<!-- This comments are hidden when"
test,astropy__astropy-13638,"`Quantity.__ilshift__` throws exception with `dtype=int`
<!-- This comments are hidden when you subm"
test,astropy__astropy-13668,"wcslint crashes on valid WCS
`wcslint` calls an underlying function here:

https://github.com/astr"
test,astropy__astropy-13731,"`Time` parses fractional days in year-month-day format incorrectly
`Time('2017-08-24.25')` results i"
test,astropy__astropy-13734,"Add option to input/output column units for fixed width tables
Extend the `io.ascii.FixedWidth` read"
test,astropy__astropy-13745,"float32 representation of pi/2 is rejected by `Latitude`
<!-- This comments are hidden when you subm"
test,astropy__astropy-13803,"float32 representation of pi/2 is rejected by `Latitude`
<!-- This comments are hidden when you subm"
test,astropy__astropy-13838,"Printing tables doesn't work correctly with 0-length array cells
<!-- This comments are hidden when "
test,astropy__astropy-13842,Creating a mixin column in a new table from columns of another table renames columns in original tab
test,astropy__astropy-13933,"Unpickled Angle.to_string fails
<!-- This comments are hidden when you submit the issue,
so you do "
test,astropy__astropy-13977,Should `Quantity.__array_ufunc__()` return `NotImplemented` instead of raising `ValueError` if the i
test,astropy__astropy-14042,"Degrees Celsius should be supported by FITS units
<!-- This comments are hidden when you submit the "
test,astropy__astropy-14096,"Subclassed SkyCoord gives misleading attribute access message
I'm trying to subclass `SkyCoord`, and"
test,astropy__astropy-14163,Should calling `np.array_equal()` on `astropy.units.Quantity` instances with incompatible units retu
test,astropy__astropy-14182,"Please support header rows in RestructuredText output
### Description

It would be great if the fo"
test,astropy__astropy-14213,The `range` argument to `numpy.histogram`-like functions does not accept instances of `astropy.units
test,astropy__astropy-14253,"When should `info` be linked to a new object?
Mostly for @taldcroft - I noticed that in `Quantity` t"
test,astropy__astropy-14295,"Presence of SIP keywords leads to ignored PV keywords.
<!-- This comments are hidden when you submit"
test,astropy__astropy-14309,"IndexError: tuple index out of range in identify_format (io.registry)
<!-- This comments are hidden "
test,astropy__astropy-14365,"ascii.qdp Table format assumes QDP commands are upper case
### Description

ascii.qdp assumes that c"
test,astropy__astropy-14369,"Incorrect units read from MRT (CDS format) files with astropy.table
### Description

When reading MR"
test,astropy__astropy-14371,"Add ``atol`` argument to function ``is_O3``
Or at least use the maximum precision of the matrix dtyp"
test,astropy__astropy-14379,"Space between value and unit
Currently, ``Angle.to_string`` doesn't include a space between the valu"
test,astropy__astropy-14413,"Unicode and console unit representations sometimes include an extraneous space
### Description

As n"
test,astropy__astropy-14439,"Regarding FITS standard definition for 'Jy/beam'
Astropy unit definition for Jy/beam currently expor"
test,astropy__astropy-14484,"New Quantity warning starting with yesterday's numpy-dev
### Description

Starting today, `photuti"
test,astropy__astropy-14508,"`io.fits.Card` may use a string representation of floats that is larger than necessary
### Descripti"
test,astropy__astropy-14528,"`io.fits` creates a corrupt FITS files if a `ImageHDU` contains zero-dimensional data
### Descriptio"
test,astropy__astropy-14539,"`io.fits.FITSDiff` may sometimes report differences between identical files
### Description

In some"
test,astropy__astropy-14566,"Problem with ""decimalyear"" applied to MaskedColumn type
### Description

The ""decimalyear"" type pr"
test,astropy__astropy-14578,"Writing a Table to FITS fails if the table contains objects
The following works fine:

``` Python
fr"
test,astropy__astropy-14590,"TST: np.fix check fails with numpy-dev (TypeError: cannot write to unmasked output)
Started popping "
test,astropy__astropy-14598,"Inconsistency in double single-quote ('') management in FITS Card
### Description

The management "
test,astropy__astropy-14628,"Make getting a topocentric ITRS position easier
### What is the problem this feature will solve?

Ri"
test,astropy__astropy-14701,"Register ``latex`` to ``Cosmology.write``
Cosmology can now read and write to files.
It would be ni"
test,astropy__astropy-14702,"BUG: change representation of votable.tree.Table vs table.Table

More often than not it's rather co"
test,astropy__astropy-14907,"TST: test_table_group_by[True] and test_group_by_masked[True] failed with numpy 1.25rc1
I see this i"
test,astropy__astropy-14938,"Add registration label ‘ascii.latex’ to Cosmology IO
### What is the problem this feature will solve"
test,astropy__astropy-14966,"QTable: Group keys don't have a unit
### Description

When grouping a QTable with a column that cont"
test,astropy__astropy-14991,"Error in distance calculations for w0wz Cosmologies
### Description

I believe that the equation use"
test,astropy__astropy-14995,"In v5.3, NDDataRef mask propagation fails when one of the operand does not have a mask
### Descripti"
test,astropy__astropy-6938,"Possible bug in io.fits related to D exponents
I came across the following code in ``fitsrec.py``:
"
test,astropy__astropy-7008,"Context manager for constant versions
For some use cases it would be helpful to have a context manag"
test,astropy__astropy-7166,"InheritDocstrings metaclass doesn't work for properties
Inside the InheritDocstrings metaclass it us"
test,astropy__astropy-7218,"HDUList.copy() returns a list
Currently ``HDUList.copy()`` returns a list rather than an ``HDUList``"
test,astropy__astropy-7336,"units.quantity_input decorator fails for constructors with type hinted return value -> None
### Summ"
test,astropy__astropy-7441,"astropy.time.TimeDelta should support conversion to `datetime.timedelta`
Because of the inheritance "
test,astropy__astropy-7606,"Unit equality comparison with None raises TypeError for UnrecognizedUnit
```
In [12]: x = u.Unit('a"
test,astropy__astropy-7671,"minversion failures
The change in PR #7647 causes `minversion` to fail in certain cases, e.g.:
```"
test,astropy__astropy-7737,"biweight_location of a constant array returns nan
Currently the robust mean estimator `biweight_loca"
test,astropy__astropy-7746,"Issue when passing empty lists/arrays to WCS transformations
The following should not fail but inste"
test,astropy__astropy-7858,"Issue when transforming a single scalar coordinate with a 1D WCS
The following example illustrates a"
test,astropy__astropy-7973,"Record data size in the WCS object
It is clear that there are practical reasons to have a record of "
test,astropy__astropy-8005,"Cosmologies used in equivalencies
The thermodynamic temperature equivalency appears to default to th"
test,astropy__astropy-8251,"FITS-standard unit parsing fails on some types of exponents
Why don't these work:
```python
from a"
test,astropy__astropy-8263,"units: 's / m' and 's / m' are not convertible
To paraphrase from https://github.com/PlasmaPy/Plasma"
test,astropy__astropy-8292,"Problem with the `littleh` part of unit equivalencies?
In the newly added `littleh` equivalencies: h"
test,astropy__astropy-8339,"ncp_prior referenced before assignment in Bayesian Blocks
There is a bug in the bayesian blocks algo"
test,astropy__astropy-8519,"Adding/subtracting ABmag Quantities loses the ""type"" of magnitude
The following code raises a `UnitC"
test,astropy__astropy-8707,"Header.fromstring does not accept Python 3 bytes
According to [the docs](http://docs.astropy.org/en/"
test,astropy__astropy-8715,"Silence warnings by default when reading in VO Tables
### TL;DR

Users often are given files they "
